HTML,Tree,AltText,Source,SourceSet,Name,Type,Parent Link,Extension
"<img alt="""" class=""md:rounded-t-2xl h-64 w-full object-cover object-center wp-post-image"" decoding=""async"" height=""712"" sizes=""(max-width: 917px) 100vw, 917px"" src=""https://analytics.alleghenycounty.us/wp-content/uploads/2026/04/26-ACDHS-06-CommunityCounts-Cards_Page_3.png"" srcset=""https://analytics.alleghenycounty.us/wp-content/uploads/2026/04/26-ACDHS-06-CommunityCounts-Cards_Page_3.png 917w, https://analytics.alleghenycounty.us/wp-content/uploads/2026/04/26-ACDHS-06-CommunityCounts-Cards_Page_3-300x233.png 300w, https://analytics.alleghenycounty.us/wp-content/uploads/2026/04/26-ACDHS-06-CommunityCounts-Cards_Page_3-768x596.png 768w"" width=""917""/>",['https://analytics.alleghenycounty.us/'],,https://analytics.alleghenycounty.us/wp-content/uploads/2026/04/26-ACDHS-06-CommunityCounts-Cards_Page_3.png,"['https://analytics.alleghenycounty.us/wp-content/uploads/2026/04/26-ACDHS-06-CommunityCounts-Cards_Page_3.png 917w', ' https://analytics.alleghenycounty.us/wp-content/uploads/2026/04/26-ACDHS-06-CommunityCounts-Cards_Page_3-300x233.png 300w', ' https://analytics.alleghenycounty.us/wp-content/uploads/2026/04/26-ACDHS-06-CommunityCounts-Cards_Page_3-768x596.png 768w']",26-ACDHS-06-CommunityCounts-Cards_Page_3.png,Featured,https://analytics.alleghenycounty.us/2026/05/18/point-in-time-count-of-people-experiencing-homelessness/,.png
"<img alt="""" class=""md:rounded-t-2xl h-64 w-full object-cover object-center wp-post-image"" decoding=""async"" height=""918"" sizes=""(max-width: 2560px) 100vw, 2560px"" src=""https://analytics.alleghenycounty.us/wp-content/uploads/2026/05/26-ACDHS-Unsheltered-Homelessness-Card_Compressed-scaled.jpeg"" srcset=""https://analytics.alleghenycounty.us/wp-content/uploads/2026/05/26-ACDHS-Unsheltered-Homelessness-Card_Compressed-scaled.jpeg 2560w, https://analytics.alleghenycounty.us/wp-content/uploads/2026/05/26-ACDHS-Unsheltered-Homelessness-Card_Compressed-300x108.jpeg 300w, https://analytics.alleghenycounty.us/wp-content/uploads/2026/05/26-ACDHS-Unsheltered-Homelessness-Card_Compressed-1024x367.jpeg 1024w, https://analytics.alleghenycounty.us/wp-content/uploads/2026/05/26-ACDHS-Unsheltered-Homelessness-Card_Compressed-768x275.jpeg 768w, https://analytics.alleghenycounty.us/wp-content/uploads/2026/05/26-ACDHS-Unsheltered-Homelessness-Card_Compressed-1536x551.jpeg 1536w, https://analytics.alleghenycounty.us/wp-content/uploads/2026/05/26-ACDHS-Unsheltered-Homelessness-Card_Compressed-2048x734.jpeg 2048w"" width=""2560""/>",['https://analytics.alleghenycounty.us/'],,https://analytics.alleghenycounty.us/wp-content/uploads/2026/05/26-ACDHS-Unsheltered-Homelessness-Card_Compressed-scaled.jpeg,"['https://analytics.alleghenycounty.us/wp-content/uploads/2026/05/26-ACDHS-Unsheltered-Homelessness-Card_Compressed-scaled.jpeg 2560w', ' https://analytics.alleghenycounty.us/wp-content/uploads/2026/05/26-ACDHS-Unsheltered-Homelessness-Card_Compressed-300x108.jpeg 300w', ' https://analytics.alleghenycounty.us/wp-content/uploads/2026/05/26-ACDHS-Unsheltered-Homelessness-Card_Compressed-1024x367.jpeg 1024w', ' https://analytics.alleghenycounty.us/wp-content/uploads/2026/05/26-ACDHS-Unsheltered-Homelessness-Card_Compressed-768x275.jpeg 768w', ' https://analytics.alleghenycounty.us/wp-content/uploads/2026/05/26-ACDHS-Unsheltered-Homelessness-Card_Compressed-1536x551.jpeg 1536w', ' https://analytics.alleghenycounty.us/wp-content/uploads/2026/05/26-ACDHS-Unsheltered-Homelessness-Card_Compressed-2048x734.jpeg 2048w']",26-ACDHS-Unsheltered-Homelessness-Card_Compressed-scaled.jpeg,Featured,https://analytics.alleghenycounty.us/2026/05/07/resources-on-unsheltered-homelessness/,.jpeg
"<img alt=""Allegheny County Office of Analytics, Technology and Planning"" height=""55"" src=""https://analytics.alleghenycounty.us/wp-content/uploads/2022/04/Allegheny-A.png"" width=""55""/>",['https://analytics.alleghenycounty.us/'],"Allegheny County Office of Analytics, Technology and Planning",https://analytics.alleghenycounty.us/wp-content/uploads/2022/04/Allegheny-A.png,,Allegheny-A.png,,,.png
"<img alt=""Allegheny Analytics"" class=""custom-logo"" decoding=""async"" fetchpriority=""high"" height=""156"" sizes=""(max-width: 774px) 100vw, 774px"" src=""https://analytics.alleghenycounty.us/wp-content/uploads/2022/04/logo.png"" srcset=""https://analytics.alleghenycounty.us/wp-content/uploads/2022/04/logo.png 774w, https://analytics.alleghenycounty.us/wp-content/uploads/2022/04/logo-300x60.png 300w, https://analytics.alleghenycounty.us/wp-content/uploads/2022/04/logo-768x155.png 768w"" width=""774""/>","['https://analytics.alleghenycounty.us/', 'https://analytics.alleghenycounty.us/topics/children-youth-and-families/']",Allegheny Analytics,https://analytics.alleghenycounty.us/wp-content/uploads/2022/04/logo.png,"['https://analytics.alleghenycounty.us/wp-content/uploads/2022/04/logo.png 774w', ' https://analytics.alleghenycounty.us/wp-content/uploads/2022/04/logo-300x60.png 300w', ' https://analytics.alleghenycounty.us/wp-content/uploads/2022/04/logo-768x155.png 768w']",logo.png,,https://analytics.alleghenycounty.us/,.png
"<img class=""block mb-4 h-24 md:h-32"" role=""presentation"" src=""https://analytics.alleghenycounty.us/wp-content/uploads/2022/04/children-1.svg""/>","['https://analytics.alleghenycounty.us/', 'https://analytics.alleghenycounty.us/topics/children-youth-and-families/']",,https://analytics.alleghenycounty.us/wp-content/uploads/2022/04/children-1.svg,,children-1.svg,,,.svg
"<img alt="""" class=""md:rounded-t-2xl h-64 w-full object-cover object-center wp-post-image"" decoding=""async"" height=""1516"" sizes=""(max-width: 2560px) 100vw, 2560px"" src=""https://analytics.alleghenycounty.us/wp-content/uploads/2025/04/Cityscape-scaled.png"" srcset=""https://analytics.alleghenycounty.us/wp-content/uploads/2025/04/Cityscape-scaled.png 2560w, https://analytics.alleghenycounty.us/wp-content/uploads/2025/04/Cityscape-300x178.png 300w, https://analytics.alleghenycounty.us/wp-content/uploads/2025/04/Cityscape-1024x606.png 1024w, https://analytics.alleghenycounty.us/wp-content/uploads/2025/04/Cityscape-768x455.png 768w, https://analytics.alleghenycounty.us/wp-content/uploads/2025/04/Cityscape-1536x909.png 1536w, https://analytics.alleghenycounty.us/wp-content/uploads/2025/04/Cityscape-2048x1213.png 2048w"" width=""2560""/>","['https://analytics.alleghenycounty.us/', 'https://analytics.alleghenycounty.us/topics/children-youth-and-families/']",,https://analytics.alleghenycounty.us/wp-content/uploads/2025/04/Cityscape-scaled.png,"['https://analytics.alleghenycounty.us/wp-content/uploads/2025/04/Cityscape-scaled.png 2560w', ' https://analytics.alleghenycounty.us/wp-content/uploads/2025/04/Cityscape-300x178.png 300w', ' https://analytics.alleghenycounty.us/wp-content/uploads/2025/04/Cityscape-1024x606.png 1024w', ' https://analytics.alleghenycounty.us/wp-content/uploads/2025/04/Cityscape-768x455.png 768w', ' https://analytics.alleghenycounty.us/wp-content/uploads/2025/04/Cityscape-1536x909.png 1536w', ' https://analytics.alleghenycounty.us/wp-content/uploads/2025/04/Cityscape-2048x1213.png 2048w']",Cityscape-scaled.png,Featured,https://analytics.alleghenycounty.us/2026/05/28/dhs-initiatives-and-accomplishments/,.png
"<img alt="""" class=""md:rounded-t-2xl h-64 w-full object-cover object-center wp-post-image"" decoding=""async"" height=""2016"" sizes=""(max-width: 2307px) 100vw, 2307px"" src=""https://analytics.alleghenycounty.us/wp-content/uploads/2023/05/Hand-pile_card.jpg"" srcset=""https://analytics.alleghenycounty.us/wp-content/uploads/2023/05/Hand-pile_card.jpg 2307w, https://analytics.alleghenycounty.us/wp-content/uploads/2023/05/Hand-pile_card-300x262.jpg 300w, https://analytics.alleghenycounty.us/wp-content/uploads/2023/05/Hand-pile_card-1024x895.jpg 1024w, https://analytics.alleghenycounty.us/wp-content/uploads/2023/05/Hand-pile_card-768x671.jpg 768w, https://analytics.alleghenycounty.us/wp-content/uploads/2023/05/Hand-pile_card-1536x1342.jpg 1536w, https://analytics.alleghenycounty.us/wp-content/uploads/2023/05/Hand-pile_card-2048x1790.jpg 2048w"" width=""2307""/>","['https://analytics.alleghenycounty.us/', 'https://analytics.alleghenycounty.us/topics/children-youth-and-families/']",,https://analytics.alleghenycounty.us/wp-content/uploads/2023/05/Hand-pile_card.jpg,"['https://analytics.alleghenycounty.us/wp-content/uploads/2023/05/Hand-pile_card.jpg 2307w', ' https://analytics.alleghenycounty.us/wp-content/uploads/2023/05/Hand-pile_card-300x262.jpg 300w', ' https://analytics.alleghenycounty.us/wp-content/uploads/2023/05/Hand-pile_card-1024x895.jpg 1024w', ' https://analytics.alleghenycounty.us/wp-content/uploads/2023/05/Hand-pile_card-768x671.jpg 768w', ' https://analytics.alleghenycounty.us/wp-content/uploads/2023/05/Hand-pile_card-1536x1342.jpg 1536w', ' https://analytics.alleghenycounty.us/wp-content/uploads/2023/05/Hand-pile_card-2048x1790.jpg 2048w']",Hand-pile_card.jpg,Featured,https://analytics.alleghenycounty.us/2026/03/25/intimate-partner-violence-reform-initiative-report-on-progress/,.jpg
"<img alt="""" class=""md:rounded-t-2xl h-64 w-full object-cover object-center wp-post-image"" decoding=""async"" height=""534"" sizes=""(max-width: 688px) 100vw, 688px"" src=""https://analytics.alleghenycounty.us/wp-content/uploads/2025/12/Juvenile_Justice_card_img.png"" srcset=""https://analytics.alleghenycounty.us/wp-content/uploads/2025/12/Juvenile_Justice_card_img.png 688w, https://analytics.alleghenycounty.us/wp-content/uploads/2025/12/Juvenile_Justice_card_img-300x233.png 300w"" width=""688""/>","['https://analytics.alleghenycounty.us/', 'https://analytics.alleghenycounty.us/topics/children-youth-and-families/']",,https://analytics.alleghenycounty.us/wp-content/uploads/2025/12/Juvenile_Justice_card_img.png,"['https://analytics.alleghenycounty.us/wp-content/uploads/2025/12/Juvenile_Justice_card_img.png 688w', ' https://analytics.alleghenycounty.us/wp-content/uploads/2025/12/Juvenile_Justice_card_img-300x233.png 300w']",Juvenile_Justice_card_img.png,Featured,https://analytics.alleghenycounty.us/2025/12/22/juvenile-justice-offenses-interactive-dashboard/,.png
"<img alt="""" class=""md:rounded-t-2xl h-64 w-full object-cover object-center wp-post-image"" decoding=""async"" height=""256"" loading=""lazy"" sizes=""auto, (max-width: 330px) 100vw, 330px"" src=""https://analytics.alleghenycounty.us/wp-content/uploads/2025/10/highland_pic.png"" srcset=""https://analytics.alleghenycounty.us/wp-content/uploads/2025/10/highland_pic.png 330w, https://analytics.alleghenycounty.us/wp-content/uploads/2025/10/highland_pic-300x233.png 300w"" width=""330""/>","['https://analytics.alleghenycounty.us/', 'https://analytics.alleghenycounty.us/topics/children-youth-and-families/']",,https://analytics.alleghenycounty.us/wp-content/uploads/2025/10/highland_pic.png,"['https://analytics.alleghenycounty.us/wp-content/uploads/2025/10/highland_pic.png 330w', ' https://analytics.alleghenycounty.us/wp-content/uploads/2025/10/highland_pic-300x233.png 300w']",highland_pic.png,Featured,https://analytics.alleghenycounty.us/2025/10/03/highland-detention-center-interactive-dashboard/,.png
"<img alt="""" class=""md:rounded-t-2xl h-64 w-full object-cover object-center wp-post-image"" decoding=""async"" height=""256"" loading=""lazy"" sizes=""auto, (max-width: 330px) 100vw, 330px"" src=""https://analytics.alleghenycounty.us/wp-content/uploads/2025/08/child_bereavment_card.png"" srcset=""https://analytics.alleghenycounty.us/wp-content/uploads/2025/08/child_bereavment_card.png 330w, https://analytics.alleghenycounty.us/wp-content/uploads/2025/08/child_bereavment_card-300x233.png 300w"" width=""330""/>","['https://analytics.alleghenycounty.us/', 'https://analytics.alleghenycounty.us/topics/children-youth-and-families/']",,https://analytics.alleghenycounty.us/wp-content/uploads/2025/08/child_bereavment_card.png,"['https://analytics.alleghenycounty.us/wp-content/uploads/2025/08/child_bereavment_card.png 330w', ' https://analytics.alleghenycounty.us/wp-content/uploads/2025/08/child_bereavment_card-300x233.png 300w']",child_bereavment_card.png,Featured,https://analytics.alleghenycounty.us/2025/08/22/child-and-young-adults-who-lost-a-parent-to-an-overdose/,.png
"<img alt="""" class=""md:rounded-t-2xl h-64 w-full object-cover object-center wp-post-image"" decoding=""async"" height=""256"" loading=""lazy"" sizes=""auto, (max-width: 330px) 100vw, 330px"" src=""https://analytics.alleghenycounty.us/wp-content/uploads/2024/09/2024-youth-cash_card.png"" srcset=""https://analytics.alleghenycounty.us/wp-content/uploads/2024/09/2024-youth-cash_card.png 330w, https://analytics.alleghenycounty.us/wp-content/uploads/2024/09/2024-youth-cash_card-300x233.png 300w"" width=""330""/>","['https://analytics.alleghenycounty.us/', 'https://analytics.alleghenycounty.us/topics/children-youth-and-families/']",,https://analytics.alleghenycounty.us/wp-content/uploads/2024/09/2024-youth-cash_card.png,"['https://analytics.alleghenycounty.us/wp-content/uploads/2024/09/2024-youth-cash_card.png 330w', ' https://analytics.alleghenycounty.us/wp-content/uploads/2024/09/2024-youth-cash_card-300x233.png 300w']",2024-youth-cash_card.png,Featured,https://analytics.alleghenycounty.us/2024/09/23/cash-assistance-for-allegheny-young-adults-impacts-and-implications/,.png
"<img alt="""" class=""md:rounded-t-2xl h-64 w-full object-cover object-center wp-post-image"" decoding=""async"" height=""256"" loading=""lazy"" sizes=""auto, (max-width: 330px) 100vw, 330px"" src=""https://analytics.alleghenycounty.us/wp-content/uploads/2024/07/accidental-ingestion_card.png"" srcset=""https://analytics.alleghenycounty.us/wp-content/uploads/2024/07/accidental-ingestion_card.png 330w, https://analytics.alleghenycounty.us/wp-content/uploads/2024/07/accidental-ingestion_card-300x233.png 300w"" width=""330""/>","['https://analytics.alleghenycounty.us/', 'https://analytics.alleghenycounty.us/topics/children-youth-and-families/']",,https://analytics.alleghenycounty.us/wp-content/uploads/2024/07/accidental-ingestion_card.png,"['https://analytics.alleghenycounty.us/wp-content/uploads/2024/07/accidental-ingestion_card.png 330w', ' https://analytics.alleghenycounty.us/wp-content/uploads/2024/07/accidental-ingestion_card-300x233.png 300w']",accidental-ingestion_card.png,Featured,https://analytics.alleghenycounty.us/2024/07/11/child-fatality-near-fatality-ingestion-analysis/,.png
"<img alt="""" class=""md:rounded-t-2xl h-64 w-full object-cover object-center wp-post-image"" decoding=""async"" height=""256"" loading=""lazy"" sizes=""auto, (max-width: 330px) 100vw, 330px"" src=""https://analytics.alleghenycounty.us/wp-content/uploads/2024/05/AFST_card.jpg"" srcset=""https://analytics.alleghenycounty.us/wp-content/uploads/2024/05/AFST_card.jpg 330w, https://analytics.alleghenycounty.us/wp-content/uploads/2024/05/AFST_card-300x233.jpg 300w"" width=""330""/>","['https://analytics.alleghenycounty.us/', 'https://analytics.alleghenycounty.us/topics/children-youth-and-families/']",,https://analytics.alleghenycounty.us/wp-content/uploads/2024/05/AFST_card.jpg,"['https://analytics.alleghenycounty.us/wp-content/uploads/2024/05/AFST_card.jpg 330w', ' https://analytics.alleghenycounty.us/wp-content/uploads/2024/05/AFST_card-300x233.jpg 300w']",AFST_card.jpg,Featured,https://analytics.alleghenycounty.us/2024/05/31/predictive-risk-models-in-child-welfare/,.jpg
"<img alt=""A crowd of diverse faces"" class=""md:rounded-t-2xl h-64 w-full object-cover object-center wp-post-image"" decoding=""async"" height=""638"" loading=""lazy"" sizes=""auto, (max-width: 1622px) 100vw, 1622px"" src=""https://analytics.alleghenycounty.us/wp-content/uploads/2021/05/communityneedindeximage.jpeg"" srcset=""https://analytics.alleghenycounty.us/wp-content/uploads/2021/05/communityneedindeximage.jpeg 1622w, https://analytics.alleghenycounty.us/wp-content/uploads/2021/05/communityneedindeximage-300x118.jpeg 300w, https://analytics.alleghenycounty.us/wp-content/uploads/2021/05/communityneedindeximage-1024x403.jpeg 1024w, https://analytics.alleghenycounty.us/wp-content/uploads/2021/05/communityneedindeximage-768x302.jpeg 768w, https://analytics.alleghenycounty.us/wp-content/uploads/2021/05/communityneedindeximage-1536x604.jpeg 1536w"" width=""1622""/>","['https://analytics.alleghenycounty.us/', 'https://analytics.alleghenycounty.us/topics/children-youth-and-families/']",A crowd of diverse faces,https://analytics.alleghenycounty.us/wp-content/uploads/2021/05/communityneedindeximage.jpeg,"['https://analytics.alleghenycounty.us/wp-content/uploads/2021/05/communityneedindeximage.jpeg 1622w', ' https://analytics.alleghenycounty.us/wp-content/uploads/2021/05/communityneedindeximage-300x118.jpeg 300w', ' https://analytics.alleghenycounty.us/wp-content/uploads/2021/05/communityneedindeximage-1024x403.jpeg 1024w', ' https://analytics.alleghenycounty.us/wp-content/uploads/2021/05/communityneedindeximage-768x302.jpeg 768w', ' https://analytics.alleghenycounty.us/wp-content/uploads/2021/05/communityneedindeximage-1536x604.jpeg 1536w']",communityneedindeximage.jpeg,Featured,https://analytics.alleghenycounty.us/2024/05/31/allegheny-county-community-need-index/,.jpeg
